5 digit NTD ID,4 digit NTD ID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
40153,4153,"vRide, Inc. - Atlanta",Inactive,Full Reporter,9,Atlanta GA,VP,DO,0,0,0,0,528078,815629,1022408,898267,829109,783059,757493,735610,719140,767844,738281,313615,0,0,0,0,0
40157,4157,Clayton County Board of Commissioners,Inactive,Full Reporter,11,Atlanta GA,DR,DO,0,0,0,0,0,0,0,25786,6395,0,0,0,0,0,0,0,0,0,0,0,0
40157,4157,Clayton County Board of Commissioners,Inactive,Full Reporter,11,Atlanta GA,DR,PT,0,0,0,0,0,21067,28570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40157,4157,Clayton County Board of Commissioners,Inactive,Full Reporter,11,Atlanta GA,MB,DO,0,0,0,0,0,0,0,2026212,465295,0,0,0,0,0,0,0,0,0,0,0,0
40157,4157,Clayton County Board of Commissioners,Inactive,Full Reporter,11,Atlanta GA,MB,PT,0,0,0,0,0,919776,2172310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40161,4161,Cherokee County Board of Commissioners,Active,Reduced Reporter,9,Atlanta GA,MB,DO,0,0,0,0,0,0,20655,20058,0,0,0,0,0,0,0,0,0,0,0,0,0
40177,4177,Buckhead Community Improvement District,Inactive,Reduced Reporter,9,Atlanta GA,MB,PT,0,0,0,0,0,0,0,136143,128329,136064,127420,56850,0,0,0,0,0,0,0,0,0
40203,4203,Enterprise Rideshare,Inactive,Full Reporter,9,Atlanta GA,VP,DO,0,0,0,0,0,0,0,0,0,0,101259,266296,188948,103691,116118,485975,421269,0,0,0,0
40230,4230,City of Atlanta,Inactive,Full Reporter,9,Atlanta GA,SR,DO,0,0,0,0,0,0,0,0,0,0,0,0,7938,880083,371041,429963,179779,0,0,0,0
40264,,Georgia State Road and Tollway Authority,Inactive,Full Reporter,9,Atlanta GA,CB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808355,1818268,1879017,437634,0,0
40264,,Georgia State Road and Tollway Authority,Inactive,Full Reporter,9,Atlanta GA,VP,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340770,671963,213450,0,0
42000,,Atlanta-Region Transit Link Authority,Active,Full Reporter,9,Atlanta GA,CB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88707,261161,203386
42000,,Atlanta-Region Transit Link Authority,Active,Full Reporter,9,Atlanta GA,VP,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121606,272208,149391
20199,2199,County of Atlantic,Active,Full Reporter,150,Atlantic City NJ,DR,DO,0,0,0,0,0,0,0,0,0,140246,129861,115574,111634,113254,111801,110238,118612,113081,45533,48776,42098
20199,2199,County of Atlantic,Inactive,Full Reporter,150,Atlantic City NJ,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20199,2199,County of Atlantic,Inactive,Full Reporter,150,Atlantic City NJ,MB,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200,2200,South Jersey Transportation Authority,Inactive,Reduced Reporter,150,Atlantic City NJ,DR,DO,0,0,0,0,0,0,0,0,0,33838,0,0,0,0,0,0,0,0,0,0,0
20200,2200,South Jersey Transportation Authority,Active,Reduced Reporter,150,Atlantic City NJ,MB,DO,0,0,0,0,0,0,0,0,0,35891,0,0,0,0,0,0,0,0,0,0,0
40073,4073,Lee-Russell Council of Governments,Active,Reduced Reporter,374,Auburn AL,DR,DO,0,0,0,0,46582,41506,47832,51222,54747,94890,0,0,0,0,0,0,0,0,0,0,0
40073,4073,Lee-Russell Council of Governments,Inactive,Reduced Reporter,374,Auburn AL,DR,PT,0,22087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40073,4073,Lee-Russell Council of Governments,Active,Reduced Reporter,374,Auburn AL,MB,DO,0,0,0,0,24613,17537,11622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40073,4073,Lee-Russell Council of Governments,Inactive,Reduced Reporter,374,Auburn AL,MB,PT,0,21800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40023,4023,Augusta Richmond County Transit Department,Inactive,Full Reporter,98,Augusta GA,DR,DO,0,0,0,0,17447,17746,19973,19472,17796,10774,0,0,0,0,0,0,0,0,0,0,0
40023,4023,Augusta Richmond County Transit Department,Active,Full Reporter,98,Augusta GA,DR,PT,0,0,0,0,0,0,0,0,0,7692,19591,18403,19368,22363,27392,26440,29087,28422,23386,25187,9147
40023,4023,Augusta Richmond County Transit Department,Inactive,Full Reporter,98,Augusta GA,MB,DO,0,0,0,0,938341,861964,893170,643746,617262,409784,0,0,0,0,0,0,0,0,0,0,0
40023,4023,Augusta Richmond County Transit Department,Active,Full Reporter,98,Augusta GA,MB,PT,0,0,0,0,0,0,0,0,0,313702,718406,745349,792327,787145,767109,696145,659599,640466,629349,505022,200509
60048,6048,Capital Metropolitan Transportation Authority,Inactive,Full Reporter,37,Austin TX,CB,DO,0,0,0,0,0,0,0,0,0,0,355282,0,0,0,0,0,0,0,0,0,0
